CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12624,472,2,2.0,2,2,2,222,Others
12625,577,2,4.0,1,2,4,124,Others
12626,389,9,4.0,3,4,4,344,Champion
12627,376,7,4.0,4,4,4,444,Champion
12628,370,3,3.0,4,3,3,433,Champion
12630,375,2,3.0,4,2,3,423,Others
12631,423,1,2.0,2,1,2,212,Lost
12633,424,4,4.0,2,3,4,234,At Risk
12635,455,2,4.0,2,2,4,224,Others
12637,433,8,4.0,2,4,4,244,At Risk
12638,399,1,2.0,3,1,2,312,New Customer
12639,604,1,2.0,1,1,2,112,Lost
12640,389,3,3.0,3,3,3,333,Potential Loyalist
12641,481,1,1.0,2,1,1,211,Lost
12642,391,3,3.0,3,3,3,333,Potential Loyalist
12643,494,6,4.0,2,4,4,244,At Risk
12644,495,1,2.0,2,1,2,212,Lost
12645,399,4,4.0,3,3,4,334,Potential Loyalist
12646,370,2,3.0,4,2,3,423,Others
12647,388,12,4.0,3,4,4,344,Champion
12648,520,1,2.0,1,1,2,112,Lost
12649,473,3,2.0,2,3,2,232,Others
12650,369,1,2.0,4,1,2,412,New Customer
12651,700,1,1.0,1,1,1,111,Lost
12652,697,1,3.0,1,1,3,113,Others
12653,514,2,4.0,1,2,4,124,Others
12654,376,5,2.0,4,3,2,432,Loyal
12656,383,5,4.0,4,3,4,434,Champion
12657,377,4,3.0,4,3,3,433,Champion
12658,384,1,3.0,3,1,3,313,Others
12659,395,1,1.0,3,1,1,311,New Customer
12660,377,1,1.0,4,1,1,411,New Customer
12662,366,11,4.0,4,4,4,444,Champion
12664,374,9,4.0,4,4,4,444,Champion
12665,690,1,1.0,1,1,1,111,Lost
12667,424,1,2.0,2,1,2,212,Lost
12668,377,4,4.0,4,3,4,434,Champion
12669,516,3,4.0,1,3,4,134,Others
12670,376,5,4.0,4,3,4,434,Champion
12672,695,1,1.0,1,1,1,111,Lost
12673,371,2,2.0,4,2,2,422,Others
12674,404,4,4.0,3,3,4,334,Potential Loyalist
12676,390,6,3.0,3,4,3,343,Others
12678,408,12,4.0,3,4,4,344,Champion
12679,424,4,3.0,2,3,3,233,At Risk
12680,366,4,3.0,4,3,3,433,Champion
12681,380,22,4.0,4,4,4,444,Champion
12682,369,31,4.0,4,4,4,444,Champion
12683,370,15,4.0,4,4,4,444,Champion
12684,373,7,4.0,4,4,4,444,Champion
12685,394,6,4.0,3,4,4,344,Champion
12686,737,1,1.0,1,1,1,111,Lost
12688,479,1,4.0,2,1,4,214,Others
12689,391,2,3.0,3,2,3,323,Potential Loyalist
12690,571,1,2.0,1,1,2,112,Lost
12691,394,6,3.0,3,4,3,343,Others
12693,493,4,3.0,2,3,3,233,At Risk
12694,436,2,3.0,2,2,3,223,Others
12695,373,4,2.0,4,3,2,432,Loyal
12697,394,3,3.0,3,3,3,333,Potential Loyalist
12700,373,4,4.0,4,3,4,434,Champion
12701,445,2,3.0,2,2,3,223,Others
12702,385,1,1.0,3,1,1,311,New Customer
12703,437,1,1.0,2,1,1,211,Lost
12704,373,8,4.0,4,4,4,444,Champion
12705,381,9,4.0,4,4,4,444,Champion
12707,657,1,2.0,1,1,2,112,Lost
12708,395,10,4.0,3,4,4,344,Champion
12709,381,15,4.0,4,4,4,444,Champion
12710,462,3,3.0,2,3,3,233,At Risk
12712,394,13,4.0,3,4,4,344,Champion
12713,366,1,3.0,4,1,3,413,Others
12714,375,5,4.0,4,3,4,434,Champion
12715,472,1,2.0,2,1,2,212,Lost
12716,369,2,3.0,4,2,3,423,Others
12717,517,2,3.0,1,2,3,123,Others
12718,437,1,1.0,2,1,1,211,Lost
12719,371,2,2.0,4,2,2,422,Others
12720,368,25,4.0,4,4,4,444,Champion
12721,397,6,4.0,3,4,4,344,Champion
12722,451,4,3.0,2,3,3,233,At Risk
12723,369,5,3.0,4,3,3,433,Champion
12724,371,4,3.0,4,3,3,433,Champion
12725,737,1,2.0,1,1,2,112,Lost
12726,394,7,4.0,3,4,4,344,Champion
12727,376,7,4.0,4,4,4,444,Champion
12728,437,4,3.0,2,3,3,233,At Risk
12729,479,1,2.0,2,1,2,212,Lost
12731,389,12,4.0,3,4,4,344,Champion
12732,545,1,1.0,1,1,1,111,Lost
12733,600,1,2.0,1,1,2,112,Lost
12734,718,1,1.0,1,1,1,111,Lost
12735,681,2,3.0,1,2,3,123,Others
12736,698,1,1.0,1,1,1,111,Lost
12738,738,1,1.0,1,1,1,111,Lost
12739,444,2,3.0,2,2,3,223,Others
12740,429,1,2.0,2,1,2,212,Lost
12743,500,2,2.0,2,2,2,222,Others
12744,417,7,4.0,2,4,4,244,At Risk
12747,368,11,4.0,4,4,4,444,Champion
12748,366,209,4.0,4,4,4,444,Champion
12749,369,5,4.0,4,3,4,434,Champion
12750,494,1,1.0,2,1,1,211,Lost
12752,447,1,4.0,2,1,4,214,Others
12753,388,6,4.0,3,4,4,344,Champion
12754,601,3,4.0,1,3,4,134,Others
12755,646,2,4.0,1,2,4,124,Others
12756,452,1,1.0,2,1,1,211,Lost
12757,381,13,4.0,4,4,4,444,Champion
12758,482,2,4.0,2,2,4,224,Others
12759,418,3,3.0,2,3,3,233,At Risk
12762,373,2,4.0,4,2,4,424,Others
12763,504,2,2.0,2,2,2,222,Others
12764,682,1,4.0,1,1,4,114,Others
12766,369,7,4.0,4,4,4,444,Champion
12769,604,1,3.0,1,1,3,113,Others
12770,576,1,3.0,1,1,3,113,Others
12772,425,1,3.0,2,1,3,213,Others
12775,383,5,3.0,4,3,3,433,Champion
12778,385,6,3.0,3,4,3,343,Others
12779,403,8,4.0,3,4,4,344,Champion
12781,429,2,3.0,2,2,3,223,Others
12782,370,5,4.0,4,3,4,434,Champion
12783,368,6,4.0,4,4,4,444,Champion
12784,375,2,2.0,4,2,2,422,Others
12785,730,1,2.0,1,1,2,112,Lost
12787,375,3,2.0,4,3,2,432,Loyal
12789,431,1,1.0,2,1,1,211,Lost
12790,558,1,2.0,1,1,2,112,Lost
12791,739,1,1.0,1,1,1,111,Lost
12792,622,1,2.0,1,1,2,112,Lost
12793,700,2,2.0,1,2,2,122,Lost
12794,419,2,3.0,2,2,3,223,Others
12795,384,1,2.0,3,1,2,312,New Customer
12797,731,1,1.0,1,1,1,111,Lost
12798,376,3,4.0,4,3,4,434,Champion
12802,552,1,2.0,1,1,2,112,Lost
12808,402,3,2.0,3,3,2,332,Potential Loyalist
12809,543,1,2.0,1,1,2,112,Lost
12811,626,3,2.0,1,3,2,132,Others
12812,410,1,1.0,3,1,1,311,New Customer
12814,467,1,1.0,2,1,1,211,Lost
12815,513,2,3.0,1,2,3,123,Others
12816,461,2,2.0,2,2,2,222,Others
12817,647,1,1.0,1,1,1,111,Lost
12818,627,1,3.0,1,1,3,113,Others
12820,369,4,3.0,4,3,3,433,Champion
12821,580,1,1.0,1,1,1,111,Lost
12822,436,2,3.0,2,2,3,223,Others
12823,440,5,4.0,2,3,4,234,At Risk
12824,425,1,2.0,2,1,2,212,Lost
12826,368,7,3.0,4,4,3,443,Champion
12827,371,3,2.0,4,3,2,432,Loyal
12828,368,6,3.0,4,4,3,443,Champion
12829,702,2,1.0,1,2,1,121,Lost
12830,403,6,4.0,3,4,4,344,Champion
12831,628,1,1.0,1,1,1,111,Lost
12832,398,2,2.0,3,2,2,322,Others
12833,511,1,2.0,1,1,2,112,Lost
12834,648,1,2.0,1,1,2,112,Lost
12836,425,4,4.0,2,3,4,234,At Risk
12837,539,1,1.0,1,1,1,111,Lost
12838,399,2,3.0,3,2,3,323,Potential Loyalist
12839,368,14,4.0,4,4,4,444,Champion
12840,509,4,4.0,1,3,4,134,Others
12841,370,25,4.0,4,4,4,444,Champion
12842,436,2,3.0,2,2,3,223,Others
12843,431,8,4.0,2,4,4,244,At Risk
12844,395,2,2.0,3,2,2,322,Others
12845,633,4,2.0,1,3,2,132,Others
12847,388,1,3.0,3,1,3,313,Others
12849,397,2,3.0,3,2,3,323,Potential Loyalist
12851,462,1,1.0,2,1,1,211,Lost
12852,660,1,2.0,1,1,2,112,Lost
12853,500,6,4.0,2,4,4,244,At Risk
12854,444,3,3.0,2,3,3,233,At Risk
12855,738,1,1.0,1,1,1,111,Lost
12856,373,6,4.0,4,4,4,444,Champion
12857,576,2,3.0,1,2,3,123,Others
12863,418,1,2.0,2,1,2,212,Lost
12864,504,1,1.0,2,1,1,211,Lost
12865,392,2,3.0,3,2,3,323,Potential Loyalist
12866,649,1,2.0,1,1,2,112,Lost
12867,392,7,4.0,3,4,4,344,Champion
12868,551,6,3.0,1,4,3,143,At Risk
12871,450,2,2.0,2,2,2,222,Others
12872,692,2,2.0,1,2,2,122,Lost
12873,648,1,2.0,1,1,2,112,Lost
12875,509,2,2.0,1,2,2,122,Lost
12876,423,2,4.0,2,2,4,224,Others
12877,369,12,3.0,4,4,3,443,Champion
12878,602,2,3.0,1,2,3,123,Others
12879,410,3,2.0,3,3,2,332,Potential Loyalist
12881,641,1,1.0,1,1,1,111,Lost
12882,375,2,3.0,4,2,3,423,Others
12883,390,4,3.0,3,3,3,333,Potential Loyalist
12884,454,1,2.0,2,1,2,212,Lost
12885,429,3,3.0,2,3,3,233,At Risk
12886,433,2,3.0,2,2,3,223,Others
12888,580,2,2.0,1,2,2,122,Lost
12890,390,1,2.0,3,1,2,312,New Customer
12891,551,3,2.0,1,3,2,132,Others
12893,396,1,1.0,3,1,1,311,New Customer
12895,408,2,2.0,3,2,2,322,Others
12897,570,2,1.0,1,2,1,121,Lost
12901,374,28,4.0,4,4,4,444,Champion
12902,630,1,1.0,1,1,1,111,Lost
12904,384,2,2.0,3,2,2,322,Others
12906,377,5,4.0,4,3,4,434,Champion
12908,542,2,3.0,1,2,3,123,Others
12909,405,5,4.0,3,3,4,334,Potential Loyalist
12910,389,8,4.0,3,4,4,344,Champion
12912,368,5,4.0,4,3,4,434,Champion
12913,370,5,4.0,4,4,4,444,Champion
12915,514,2,2.0,1,2,2,122,Lost
12916,504,4,4.0,2,3,4,234,At Risk
12917,494,1,2.0,2,1,2,212,Lost
12919,374,6,3.0,4,4,3,443,Champion
12920,383,1,1.0,4,1,1,411,New Customer
12921,375,37,4.0,4,4,4,444,Champion
12922,527,1,2.0,1,1,2,112,Lost
12923,430,1,1.0,2,1,1,211,Lost
12924,454,4,3.0,2,3,3,233,At Risk
12925,370,2,3.0,4,2,3,423,Others
12928,401,5,4.0,3,4,4,344,Champion
12929,677,1,1.0,1,1,1,111,Lost
12930,444,2,2.0,2,2,2,222,Others
12931,387,15,4.0,3,4,4,344,Champion
12933,390,3,2.0,3,3,2,332,Potential Loyalist
12935,368,7,4.0,4,4,4,444,Champion
12936,383,4,3.0,4,3,3,433,Champion
12937,381,4,3.0,4,3,3,433,Champion
12938,391,1,1.0,3,1,1,311,New Customer
12939,430,8,4.0,2,4,4,244,At Risk
12940,420,2,3.0,2,2,3,223,Others
12942,497,3,3.0,2,3,3,233,At Risk
12944,401,2,2.0,3,2,2,322,Others
12945,654,1,2.0,1,1,2,112,Lost
12947,509,6,3.0,1,4,3,143,At Risk
12948,382,7,4.0,4,4,4,444,Champion
12949,396,8,4.0,3,4,4,344,Champion
12950,368,3,4.0,4,3,4,434,Champion
12951,374,6,3.0,4,4,3,443,Champion
12952,371,4,3.0,4,3,3,433,Champion
12953,375,1,2.0,4,1,2,412,New Customer
12955,367,11,4.0,4,4,4,444,Champion
12956,672,1,1.0,1,1,1,111,Lost
12957,375,8,4.0,4,4,4,444,Champion
12962,373,2,1.0,4,2,1,421,Others
12963,374,8,4.0,4,4,4,444,Champion
12965,455,1,3.0,2,1,3,213,Others
12966,375,1,1.0,4,1,1,411,New Customer
12967,724,2,3.0,1,2,3,123,Others
12968,478,1,1.0,2,1,1,211,Lost
12970,373,4,2.0,4,3,2,432,Loyal
12971,369,86,4.0,4,4,4,444,Champion
12974,563,1,1.0,1,1,1,111,Lost
12976,577,1,3.0,1,1,3,113,Others
12977,522,1,1.0,1,1,1,111,Lost
12980,523,9,4.0,1,4,4,144,At Risk
12981,395,2,2.0,3,2,2,322,Others
12982,608,1,2.0,1,1,2,112,Lost
12984,384,1,1.0,3,1,1,311,New Customer
12985,366,2,3.0,4,2,3,423,Others
12987,439,2,2.0,2,2,2,222,Others
12988,658,1,2.0,1,1,2,112,Lost
12989,369,15,4.0,4,4,4,444,Champion
12990,397,3,2.0,3,3,2,332,Potential Loyalist
12991,389,2,2.0,3,2,2,322,Others
12993,389,4,2.0,3,3,2,332,Potential Loyalist
12994,370,3,3.0,4,3,3,433,Champion
12995,451,1,1.0,2,1,1,211,Lost
12997,388,4,3.0,3,3,3,333,Potential Loyalist
12999,562,3,2.0,1,3,2,132,Others
13000,472,3,2.0,2,3,2,232,Others
13001,370,13,4.0,4,4,4,444,Champion
13002,684,1,1.0,1,1,1,111,Lost
13003,471,3,1.0,2,3,1,231,Others
13004,377,18,4.0,4,4,4,444,Champion
13005,539,2,2.0,1,2,2,122,Lost
13006,422,1,1.0,2,1,1,211,Lost
13008,689,1,1.0,1,1,1,111,Lost
13011,738,1,1.0,1,1,1,111,Lost
13012,375,8,4.0,4,4,4,444,Champion
13013,367,13,4.0,4,4,4,444,Champion
13014,376,10,4.0,4,4,4,444,Champion
13015,419,5,4.0,2,4,4,244,At Risk
13016,439,3,3.0,2,3,3,233,At Risk
13017,373,1,1.0,4,1,1,411,New Customer
13018,382,28,4.0,4,4,4,444,Champion
13021,370,9,4.0,4,4,4,444,Champion
13023,430,2,3.0,2,2,3,223,Others
13026,367,5,3.0,4,4,3,443,Champion
13027,479,6,4.0,2,4,4,244,At Risk
13028,388,2,2.0,3,2,2,322,Others
13029,396,3,3.0,3,3,3,333,Potential Loyalist
13030,377,2,3.0,4,2,3,423,Others
13032,418,2,3.0,2,2,3,223,Others
13033,723,1,1.0,1,1,1,111,Lost
13034,420,2,2.0,2,2,2,222,Others
13035,439,2,3.0,2,2,3,223,Others
13037,504,3,3.0,2,3,3,233,At Risk
13038,446,3,3.0,2,3,3,233,At Risk
13040,374,2,3.0,4,2,3,423,Others
13043,639,1,2.0,1,1,2,112,Lost
13044,657,1,2.0,1,1,2,112,Lost
13045,465,1,1.0,2,1,1,211,Lost
13046,396,2,2.0,3,2,2,322,Others
13047,397,10,4.0,3,4,4,344,Champion
13048,380,4,4.0,4,3,4,434,Champion
13049,430,2,2.0,2,2,2,222,Others
13050,380,17,4.0,4,4,4,444,Champion
13052,578,1,2.0,1,1,2,112,Lost
13055,444,3,3.0,2,3,3,233,At Risk
13058,390,3,1.0,3,3,1,331,Potential Loyalist
13059,615,1,1.0,1,1,1,111,Lost
13060,619,1,2.0,1,1,2,112,Lost
13061,438,1,1.0,2,1,1,211,Lost
13062,557,1,2.0,1,1,2,112,Lost
13064,378,4,3.0,4,3,3,433,Champion
13065,739,1,1.0,1,1,1,111,Lost
13066,390,2,2.0,3,2,2,322,Others
13067,448,1,1.0,2,1,1,211,Lost
13068,376,2,2.0,4,2,2,422,Others
13069,366,24,4.0,4,4,4,444,Champion
13070,558,1,1.0,1,1,1,111,Lost
13072,632,1,1.0,1,1,1,111,Lost
13075,495,1,3.0,2,1,3,213,Others
13077,367,4,3.0,4,3,3,433,Champion
13078,369,26,4.0,4,4,4,444,Champion
13079,370,5,1.0,4,4,1,441,Loyal
13080,545,1,1.0,1,1,1,111,Lost
13081,377,11,4.0,4,4,4,444,Champion
13082,492,9,4.0,2,4,4,244,At Risk
13083,370,2,1.0,4,2,1,421,Others
13085,523,2,2.0,1,2,2,122,Lost
13089,368,97,4.0,4,4,4,444,Champion
13090,374,14,4.0,4,4,4,444,Champion
13091,394,1,2.0,3,1,2,312,New Customer
13092,436,5,2.0,2,4,2,242,Others
13093,641,8,4.0,1,4,4,144,At Risk
13094,387,12,4.0,3,4,4,344,Champion
13095,436,1,1.0,2,1,1,211,Lost
13097,398,10,4.0,3,4,4,344,Champion
13098,367,28,4.0,4,4,4,444,Champion
13099,465,1,1.0,2,1,1,211,Lost
13101,600,1,1.0,1,1,1,111,Lost
13102,367,24,4.0,4,4,4,444,Champion
13103,405,1,1.0,3,1,1,311,New Customer
13104,369,6,3.0,4,4,3,443,Champion
13106,499,1,1.0,2,1,1,211,Lost
13107,410,4,3.0,3,3,3,333,Potential Loyalist
13108,738,1,2.0,1,1,2,112,Lost
13109,425,2,3.0,2,2,3,223,Others
13110,397,7,3.0,3,4,3,343,Others
13113,366,24,4.0,4,4,4,444,Champion
13115,377,4,4.0,4,3,4,434,Champion
13116,504,1,2.0,2,1,2,212,Lost
13117,387,8,3.0,3,4,3,343,Others
13118,385,5,3.0,3,4,3,343,Others
13120,604,1,1.0,1,1,1,111,Lost
13121,635,1,1.0,1,1,1,111,Lost
13122,460,2,3.0,2,2,3,223,Others
13124,455,3,4.0,2,3,4,234,At Risk
13126,370,8,4.0,4,4,4,444,Champion
13127,443,1,1.0,2,1,1,211,Lost
13130,460,1,1.0,2,1,1,211,Lost
13131,389,3,3.0,3,3,3,333,Potential Loyalist
13132,627,1,1.0,1,1,1,111,Lost
13133,639,2,1.0,1,2,1,121,Lost
13134,451,4,4.0,2,3,4,234,At Risk
